"X","year","month","day","hour","PM2.5","PM10","SO2","NO2","CO","O3","TEMP","PRES","DEWP","RAIN","wd","WSPM"
609,2015,4,17,10,72,201,14,95,1000,16,17.3,1006.1,-0.9,0,"NW",0.9
610,2013,3,14,0,65,106,30,65,1300,93,1.6,1026.8,-5.6,0,"S",3.3
611,2016,5,30,22,106,152,24,61,1500,153,28.4,997.6,17,0,"SE",1.2
612,2015,12,13,13,186,204,71,119,4300,9,3.7,1022.9,-4,0,"NE",0.6
613,2015,4,17,22,112,227,42,94,1300,60,18.5,1005.2,5.3,0,"SE",1
614,2016,2,23,15,12,12,6,13,200,86,2.4,1033.3,-24.2,0,"N",3.8
615,2014,9,9,20,47,89,10,55,800,139,21.3,1006.8,15.8,0,"E",1.2
616,2015,2,18,23,127,136,48,37,900,52,3,1029,-12.9,0,"SW",3.9
617,2014,1,26,4,19,46,24,16,700,49,-1.5,1029,-7.4,0,"SE",1.1
618,2013,8,4,21,13,13,3,19,700,131,21.9,995.7,20.2,0.9,"SE",1.3
619,2016,3,7,17,8,57,2,15,200,88,8.6,1018.6,-19.3,0,"NW",6.1
620,2014,12,7,10,79,107,41,72,2500,7,0,1023,-4.3,0,"E",0.9
621,2016,7,10,15,33,33,4,10,500,169,35.9,996.3,20.2,0,"SW",3.4
622,2014,3,24,7,214,244,35,99,2000,2,8.4,1012.3,2.6,0,"E",1.1
623,2015,8,15,5,24,50,2,51,600,26,23.2,1000.9,16.3,0,"N",1.8
624,2013,11,4,22,88,122,13,91,1600,2.5704,6.3,1021,0.6,0,"NE",0.8
625,2013,4,14,12,61,208,30,47,1000,80,14.6,1006.6,-3.3,0,"SW",2.4
626,2014,6,12,20,30,111,5,30,600,179,28.7,1001.8,16.3,0,"NE",1.2
627,2016,3,23,5,16,16,4,29,300,45,6.3,1027.1,-10.5,0,"NE",2.1
628,2013,7,10,19,25,20,3,85,1000,14,23.8,1001.6,22.1,0,"NW",0.2
629,2014,12,16,20,4,47,3,30,400,49,-3,1024,-22.3,0,"E",1
630,2013,10,26,11,60,61,34,51,800,30,15.5,1018.8,-2,0,"SW",1.1
631,2016,8,26,20,19,45,2,53,500,82,26.4,1010.2,7.9,0,"SW",1.8
632,2013,8,30,10,4,7,1,22,300,46,24.5,1009.5,7.6,0,"NE",2.5
633,2013,3,26,13,213,223,60,72,1399,48,12.2,1008.1,-2.8,0,"SW",4
634,2014,8,9,23,9,22,2,26,600,115,21,1000.2,18.9,0.1,"NW",1.8
635,2016,12,23,15,14,25,8,33,500,47,4.4,1025.3,-13.5,0,"SE",1.1
636,2013,11,10,13,12,22,7,16,300,74.1132,9.5,1021.6,-20.7,0,"NW",4.5
637,2014,12,12,2,6,51,8,11,200,59,-1,1026,-19.6,0,"NW",5.9
638,2016,4,23,11,20,23,2,13,100,84,18.3,1011.7,-11.6,0,"NE",2.3
639,2014,6,9,15,24,33,13,32,600,164,28.7,998.9,8.9,0,"E",0.3
640,2015,2,24,1,205,240,44,88,2200,7,-3,1013,-8.9,0,"NE",2.1
641,2014,4,26,12,42,98,4,18,200,62,20.2,1016.4,0.6,0,"W",1.3
642,2013,11,4,15,37,45,8,29,400,63.4032,17.4,1021.9,-3.4,0,"SW",1.4
643,2017,2,27,15,107,107,19,64,1300,66,15.7,1014.1,-7.2,0,"SW",2.7
644,2016,9,1,14,3,15,2,8,300,86,25.9,992,9.7,0,"E",2.3
645,2013,4,30,23,24,216,8,67,600,44,14.8,1013,-3.1,0,"E",2.6
646,2014,4,9,20,65,431,8,42,600,98,21.1,1012.6,1.9,0,"SE",3.2
647,2013,3,6,10,138,170,96,114,2200,35,8.8,1010.4,-6.2,0,"NE",1.1
648,2015,6,2,17,23,31,2,16,200,104,32.5,1002.8,-6,0,"NW",3.1
649,2014,7,5,19,78,85,3,22,800,185,28.8,1001.4,20.8,0,"SW",1.5
650,2016,11,28,12,42,64,21,75,1700,12,5.8,1028,-10.9,0,"SW",1.1
651,2014,6,4,15,44,81,14,26,700,235,29.1,1000.5,12.9,0,"SW",2
652,2016,12,18,19,296,315,27,140,3700,5,0,1019.9,-5.8,0,"SE",0
653,2015,1,2,8,12,20,15,58,600,17,-9,1025,-18.8,0,"N",0.5
654,2013,9,3,20,99,104,20,48,1300,148,24.6,1011.9,17.6,0,"SE",1.6
655,2015,6,16,3,132,189,16,95,1300,50,22.2,999.9,16,0,"E",1
656,2016,4,19,23,66,66,20,62,1000,37,13.3,1011.5,3.6,0,"SW",0.8
657,2014,3,28,12,109,101,28,38,1200,71,20.5,1003,8.2,0,"NE",1.6
658,2015,2,8,6,13,13,8,37,600,46,-8,1035,-27.1,0,"NE",1.5
659,2014,8,4,7,71,92,2,71,1200,2,27.2,998.9,21,0,"NE",2.2
660,2013,8,4,12,81,71,13,40,1100,178,32.7,995.1,21.6,0,"E",1.8
661,2016,8,22,3,70,70,10,33,1300,117,25.2,1007.5,21.3,0,"W",0.7
662,2014,3,31,22,117,131,13,92,1500,28,12.7,1011.4,9.7,0,"E",1.5
663,2014,1,22,23,221,275,131,131,4900,7,-5.1,1017.3,-13,0,"E",1
664,2016,10,25,10,102,144,3,71,1600,2,10.56666667,1012,7.9,0,"NE",1.2
665,2015,2,15,9,314,314,100,124,5900,16,1,1016,-7.3,0,"NE",1.1
666,2016,4,14,23,27,65,6,63,400,33,13.2,1012.6,-0.1,0,"SE",2.2
667,2014,11,21,2,602,628,11,174,6600,3,-1,1014,-1.6,0,"NE",1.2
668,2014,3,10,18,119,147,79,80,1900,45,6.1,1015.4,-3.8,0,"E",1.1
669,2016,10,15,18,189,212,8,92,2300,2,15.6,1017.1,13.6,0,"SW",0
670,2017,2,24,11,24,24,16,34,800,53,8.4,1022.2,-11.6,0,"NE",1.6
671,2013,5,29,1,35,39,5,29,200,43,21.5,1005.1,1.7,0,"NW",3.1
672,2013,8,5,18,58,94,6,46,1000,248,30.5,992.9,20.4,0,"S",1.1
673,2016,4,19,20,70,74,21,55,700,51,14.1,1011.4,4.9,0,"NE",1.5
674,2016,10,4,5,18,41,2,19,700,41,17.8,1011.6,13.1,0,"E",1.8
675,2014,4,16,16,49,135,13,58,500,92,20.5,1006.8,-5.4,0,"SE",1.9
676,2013,8,5,22,41,42,4,44,1000,108,26.9,994.6,24.2,0,"S",1
677,2013,11,7,21,79,112,14,81,1400,3.213,3.8,1016.1,-2.2,0,"E",0.2
678,2016,9,10,2,13,18,2,47,400,19,22,1005.4,13.4,0,"NE",1.3
679,2014,1,26,6,22,52,20,22,700,44,-3.4,1029.5,-7.5,0,"SE",1.2
680,2014,5,12,17,24,86,6,28,300,175,28.1,994.7,8.4,0,"SW",5
681,2015,4,25,15,111,141,8,32,500,185,31.9,1007.3,1.1,0,"SW",3
682,2016,1,13,7,12,16,9,47,600,33,-5.8,1021.1,-24.2,0,"NE",1.5
683,2014,10,13,7,7,7,2,21,200,40,10.7,1026.4,-6.2,0,"NW",2
684,2016,4,23,13,24,24,2,12,100,94,20,1010.3,-11.4,0,"S",1.9
685,2016,10,22,22,13,61,2,47,600,2,9,1021.1,4.6,0,"SE",0.5
686,2017,2,8,8,10,26,8,21,500,56,-0.9,1027.7,-16.3,0,"N",3
687,2014,11,25,5,128,203,20,85,3100,2,-2,1017,-3.4,0,"E",0.7
688,2013,12,6,22,182,219,58,104.703,3800,9,-0.5,1015.8,-4.9,0,"NE",0.6
689,2013,9,16,15,30,39,23,40,1200,100,25,1005.3,13.2,0,"S",1.9
690,2013,5,9,17,55,58,10,37,600,86,18.9,1003.4,11,0,"SE",1.2
691,2015,5,22,1,31,67,14,31,800,96,20,1006.5,7,0,"SW",2.8
692,2013,5,11,23,30,68,6,101,700,2,18.8,993.9,-3.4,0,"SW",0.4
693,2014,6,27,21,25,62,4,67,600,110,26.8,1002.3,13.9,0,"W",1.7
694,2015,1,16,7,13,14,12,22,400,54,-1,1023,-15.3,0,"NW",1.6
695,2015,10,25,18,34,73,9,70,700,7,12,1020.4,-0.9,0,"E",1
696,2016,6,24,2,48,64,2,85,1100,24,21.1,1001.6,16.9,0,"E",1.4
697,2016,12,13,18,18,28,6,60,700,23,0.5,1027.2,-13.9,0,"NE",1.1
698,2013,9,21,9,42,85,8,66,700,9,23.5,1012.8,17,0,"NE",1.3
699,2016,12,20,9,267,267,5,101,6700,9,-2.8,1025.9,-3.3,0,"E",1.4
700,2015,7,29,9,90,101,2,61,1000,59,28.5,998.1,23.9,0,"E",1
701,2015,7,5,14,66,72,29,25,1400,214,28.3,1004.9,12.2,0,"E",2.7
702,2013,9,30,21,106,161,23,131,1800,1,17,1013.8,16.4,0,"E",0.7
703,2014,10,1,12,91,174,9,75,1300,4,13.2,1011.3,8.7,0,"N",1.4
704,2013,7,27,11,109,72,3,34,1500,10,24.9,996.2,24.2,0,"E",1.2
705,2013,3,28,3,12,18,3,26,300,74,5,1016.8,-15.6,0,"E",1.7
706,2015,3,29,5,69,90,10,100,1400,5,7.6,1012.9,-0.1,0,"NE",0.7
707,2013,7,27,4,99,96,12,61,1600,2,24.8,997.2,23.2,0,"N",1.3
708,2014,8,28,16,74.5,117.2,9.6,32.5,900,152.9,25.7,1009.1,19.1,0,"SE",0.9
709,2016,3,16,2,219,250,46,109,1900,11,5.9,1012.4,-1.3,0,"SE",0.9
710,2016,11,25,19,280,345,33,119,2900,4,2.4,1020,-4.1,0,"SW",0.7
711,2015,6,28,20,155,155,16,40,1400,198,28.5,999.9,21.5,0,"SE",1.9
712,2015,8,20,21,47,102,3,35,800,139,27.5,1002.4,19,0,"SW",0.6
713,2016,10,4,15,42,92,4,49,1500,2,14.9,1009,12.6,0.5,"NW",3.5
714,2015,8,25,0,28,39,3,64,700,23,22.5,1007,18.7,0,"NE",0
715,2017,1,22,19,73,99,20,80,1200,13,-1.6,1030,-19.1,0,"SE",2.4
716,2015,6,28,7,143,143,5,33,1000,52,24.1,1004,21,0,"E",1.8
717,2015,12,13,16,223,223,88,132,5100,11,3.1,1021.9,-4.6,0,"SE",0.9
718,2016,1,9,20,101,111,28,108,1700,11,0.6,1020.8,-13.9,0,"W",1.8
719,2014,12,26,10,107,143,69,100,3300,2,-2,1029,-10.3,0,"NE",1.1
720,2016,1,18,1,10,69,2,11,200,73,-6.9,1021.5,-24.6,0,"NW",5
721,2013,6,20,6,127,185,30,90,2299,8,25.7,1002.4,16.8,0,"N",2.1
722,2014,12,20,11,9,42,13,38,700,36,-1,1028,-18.6,0,"NW",1.8
723,2014,5,26,4,9,35,2,78,400,19,15.1,999.8,5.6,0,"W",1
724,2016,1,31,16,8,10,5,20,400,70,1.2,1031.1,-21.9,0,"NW",3.7
725,2016,6,24,0,42,44,2,54,900,63,23.5,1000.3,16.3,0,"SW",0.7
726,2014,2,28,15,78,92,69,50,1000,29,6.1,1019,-6.8,0,"W",2.1
727,2016,10,12,10,76,110,12,58,1500,6,14.5,1022.8,8.7,0,"NE",1.2
728,2015,12,8,20,289,289,28,99,4700,3,1.2,1025.1,0.5,0,"NE",1.2
729,2015,9,14,6,55,103,3,78,1000,2,14.8,1013.9,13.5,0,"E",0.8
730,2014,1,14,22,91,104,61,89,1800,5,-2.6,1029.6,-15,0,"W",2.1
731,2016,10,23,21,43,93,3,60,900,8,11.4,1017.25,3.5,0,"SW",1.8
732,2016,10,3,1,92,92,6,54,1200,8,19.8,1004.8,16.8,0,"SE",1.5
733,2016,9,22,22,142,156,6,104,1600,25,20.85,1009,15.8,0,"NE",1.3
734,2014,3,5,22,44,23,13,56,600,26,4,1024.9,-22,0,"N",2.1
735,2016,11,26,1,345,390,28,107,3400,6,-0.1,1019.1,-2.8,0,"SW",0
736,2013,12,3,16,21,36,12,26.689,400,56,10.4,1017.1,-11,0,"W",0.8
737,2014,7,26,6,139,162,7,37,1700,84,25.6,1004.7,20.4,0,"W",1
738,2016,8,7,2,24,24,2,23,800,61,25.8,1001.2,22.1,0,"NW",2
739,2014,12,28,4,363,439,108,190,7900,2,-1,1018,-8.2,0,"E",1.5
740,2015,9,1,8,5,7,2,32,500,35,19.3,1008.7,17.3,0.2,"NW",1.6
741,2016,1,4,5,13,13,3,20,300,67,-0.8,1024.8,-12.4,0,"N",2.1
742,2016,9,18,19,13,13,2,53,600,11,19.2,1016,14,0,"NW",2
743,2014,8,14,6,30,30,2,55,900,2,19.1,1004.6,16.7,0,"E",1
744,2014,6,21,18,66,78,6,25,1200,188,23,1003.9,13.2,0,"NW",7
745,2014,10,11,10,201,201,5,59,1900,37,16.8,1017.2,15.1,0,"E",1.5
746,2015,6,12,10,5,17,2,17,300,87,25.8,994.3,7.4,0,"NW",5.2
747,2017,2,14,18,198,198,37,97,2400,12,1.5,1025.6,-4.6,0,"E",1.2
748,2013,6,5,7,86,43,3,29,1300,33,18.6,1009.1,18.1,0.1,"NE",0.8
749,2017,1,14,8,18,24,12,61,600,11,-5.6,1028.25,-22,0,"NE",1.5
750,2017,2,26,1,15,28,8,39,600,44,3,1020.7,-8.4,0,"NE",0.6
751,2013,11,3,14,17,33,1,7,100,77.112,18.4,1020.2,-4.3,0,"N",4.2
752,2016,11,2,2,92,147,12,70,1200,2,-0.6,1025.2,-3,0,"E",0.8
753,2014,3,14,5,7,39,6,12,300,73,6.8,1017.1,-18.9,0,"NW",1.6
754,2013,3,4,5,3,6,10,22,300,74,6,1020.1,-14.2,0,"NW",2.4
755,2014,10,8,23,373,374,4,156,3400,2,12.8,1014.7,12.5,0,"N",0
756,2016,10,17,12,27,27,3,22,400,55,20.4,1017.7,2.2,0,"S",1.5
757,2016,6,16,7,19,27,2,54,500,13,21.3,996.3,15.6,0,"NE",1.2
758,2015,1,11,21,92,120,38,89,1500,11,2,1031,-8.2,0,"SW",1.2
759,2014,5,23,1,67,153,14,54,700,126,25.9,1005.6,11.6,0,"S",1.3
760,2016,9,27,9,6,32,2,13,500,46,16.2,1017.25,3.3,0,"NW",5.7
761,2016,8,20,3,46,47,2,48,1400,59,24.1,1005.1,21,0,"S",0.9
762,2015,1,24,12,112,127,47,67,2000,25,3,1022,-9,0,"SE",1.9
763,2016,12,13,17,23,28,6,50,700,32,2.8,1026.7,-13.9,0,"NE",1.1
764,2016,2,9,14,45,45,23,38,1000,85,10.3,1016.7,-13.7,0,"S",2.4
765,2013,8,4,8,131,117,8,64,1300,27,27.5,997.8,23.7,0,"N",1.4
766,2015,5,1,14,80,83,4,20,600,78,19,1005.2,10.3,0,"NW",5.4
767,2016,4,4,6,59,79,8,68,500,21,7.6,1010.3,-0.4,0,"NE",1.6
768,2014,3,28,13,83,92,33,29,900,85,21.8,1002.1,6.1,0,"NE",2.9
769,2017,2,26,20,37,62,6,52,700,46,10.3,1019.4,-8.9,0,"SW",1.9
770,2016,8,22,8,88,88,10,78,1500,26,28.2,1008.9,20.2,0,"SE",1
771,2014,12,18,20,214,261,89,106,4100,2,-2,1023,-7.1,0,"E",0.9
772,2013,12,11,7,8,7,9,28.9473,300,23,-3.5,1017.9,-14.6,0,"W",0.6
773,2016,12,8,17,7,40,4,26,300,60,6.6,1015.1,-15.4,0,"NW",3.7
774,2014,7,2,10,35,35,2,35,1000,89,23.5,999.5,21,0,"E",0.5
775,2013,5,17,1,73,94,26,51,1300,82,18.7,1010.4,10.3,0,"SE",1.1
776,2013,5,5,5,141,252,20,108,1800,2,13.8,1013.7,8.4,0,"NE",1.1
777,2016,4,8,1,9,34,2,22,200,70,14.7,1013.8,-19.3,0,"N",3.5
778,2015,6,14,10,17,28,5,31,600,82,26.5,1005.3,14.6,0,"NW",1.5
779,2016,9,21,9,71,135,6,79,1400,2,18.7,1016.7,14.2,0,"NE",1.3
780,2016,3,9,5,10,10,2,15,300,59,-2.1,1030.9,-22.7,0,"NE",1.8
781,2014,2,2,9,132,127,47,49,2400,8,7.1,1010.5,-10.2,0,"N",5.6
782,2014,7,17,5,105,105,4,54,2600,17,22.8,1001.7,20.7,0,"E",0.6
783,2014,9,27,22,49,134,4,129,1000,2,16,1012.9,12.7,0,"NE",0.7
784,2016,8,8,16,26,26,2,15,600,159,32.8,1004,18.2,0,"S",1.6
785,2013,7,2,5,7,7,3,11,400,82,24.1,990.6,18.1,0,"NE",1.5
786,2016,2,16,20,7,35,5,23,300,66,5,1020.3,-12,0,"NE",2.2
787,2016,5,3,4,34,62,2,54,500,2,11.4,998.5,5.9,0,"W",2
788,2017,1,11,17,108,168,29,103,1800,12,5.625,1018.5,-12.5,0,"SW",1.5
789,2016,9,25,1,250,299,8,95,1900,17,21.475,1007,18.3,0,"NE",1.7
790,2016,9,25,3,245,257,5,77,1600,18,20.775,1008,18.4,0,"NE",0.9
791,2013,5,19,7,72,53,13,37,900,47,18.4,994.9,13.7,0,"S",2.7
792,2013,11,22,16,178,176,52,9.2385,2100,14,9.6,1017.5,-6.3,0,"S",1.3
793,2015,6,3,2,36,105,9,33,500,74,19.4,1010.3,11.4,0,"E",1.1
794,2016,7,20,22,6,6,2,32,700,41,22,996.2,21.3,2.3,"NE",1.6
795,2016,3,5,5,58,374,2,13,200,69,7.8,1015.8,-15.1,0,"NW",4
796,2016,12,25,15,143,160,44,89,2500,4,1.4,1022.9,-5.3,0,"E",0.8
797,2016,9,27,14,3,13,2,9,400,67,20.475,1017.25,2.1,0,"NE",5.6
798,2017,2,19,1,137,172,31,99,2000,2,2.4,1007.2,-7,0,"NE",1.5
799,2014,1,12,12,14,16,22,15,400,59,2.1,1032.2,-22.7,0,"N",2.7
800,2015,11,29,7,240,240,51,108,6100,4,-4.6,1022.1,-5.1,0,"W",0.2
801,2017,2,18,17,74,97,21,30,700,76,8.6,1014.6,-13.1,0,"S",2
802,2014,12,8,18,120,141,50,84,1500,26,1,1032,-13.1,0,"S",1
803,2014,8,8,14,52,52,11,18,900,232,32.1,1003.4,12.3,0,"SW",2.9
804,2016,1,1,23,341,341,38,162,6300,32,-3.2,1017.4,-5.2,0,"NE",1.4
805,2016,7,26,18,14,17,2,16,400,152,33.4,998.3,15.9,0,"E",1.8
806,2013,3,6,0,229,232,124,182,3299,48,5.6,1010.4,-7,0,"NE",0.8
807,2015,10,6,10,265,265,6,49,1600,109,19.7,1014.4,14.7,0,"E",1.1
808,2015,1,29,4,101,113,26,45,1200,27,-4,1023,-7.1,0,"SW",1.7
809,2014,9,6,23,138,187,18,89,1300,73,24.6,1005,19.2,0,"S",1.5
810,2013,8,11,8,281,211,15,44,2000,29,27.4,1003.5,26.7,2,"E",1.4
811,2013,7,28,20,59,3,4,42,600,111,32,996,19.6,0,"SW",1.9
812,2017,2,28,9,11,11,9,42,600,42,10.7,1016.7,-11.4,0,"N",2.3
813,2013,8,22,16,106,119,7,81,1500,54,26.5,1004.5,22.6,0,"E",1
814,2015,7,22,18,46,60,2,25,800,190,29.4,998.3,20.5,0,"S",1.8
815,2014,7,11,20,12,36,5,46,500,146,29.5,996.4,15.6,0,"SE",0.9
816,2015,12,20,19,242,242,21,133,4300,13,-2.8,1020.7,-3.5,0,"N",0.2
817,2014,11,8,19,90,109,10,91,1000,43,7,1021,-0.9,0,"W",1.2
818,2015,3,8,9,245,245,64,110,3600,13,3.4,1017,-2.4,0,"E",1.1
819,2015,3,24,13,72,90,31,53,1400,80,13.3,1027.6,-10.6,0,"SW",1.2
820,2015,7,10,12,24,40,9,17,600,156,29.6,1007.4,17.8,0,"SE",2.6
821,2014,9,2,0,25,25,2,26,1000,84,20.1,1006.6,19.4,3.2,"NW",0.7
822,2014,5,25,19,7,53,2,27,100,98,24.6,1000.7,-0.6,0,"W",2.5
823,2014,8,24,18,8,25,2,17,300,124,28.5,1002.7,15.4,0,"SE",2.3
824,2015,12,9,13,273,273,62,112,3500,5,4,1020.2,1.5,0,"N",1.5
825,2016,11,12,3,78,140,7,61,1900,2,1.6,1014.5,-1.3,0,"NE",0.5
826,2015,5,10,3,33,39,11,44,2800,38,12.1,1012.2,4.3,0,"E",1
827,2015,2,23,17,55,118,14,34,800,71,4,1015,-14.3,0,"SW",1.7
828,2017,2,26,19,32,57,6,36,500,62,10.9,1019.2,-8.9,0,"SW",2.7
829,2015,3,11,9,34,34,18,56,900,30,3.5,1022.7,-20.8,0,"E",3.1
830,2014,12,2,5,10,13,9,43,500,21,-9,1028,-23.8,0,"NE",1.1
831,2014,2,7,1,78,56,49,37,1100,29,-1.9,1026.3,-5.7,0,"SE",1.6
832,2016,9,19,20,15,37,3,91,900,9,17.8,1015.9,13.1,0,"SW",0
833,2014,12,2,10,17,46,13,58,1000,12,-5,1023,-21.6,0,"E",1.6
834,2016,9,13,0,61,61,2,77,900,35,21.8,1013.7,19.4,0,"S",0.5
835,2013,4,4,15,98,164,77,94,2500,32,8,1008.6,0.9,0,"N",3.2
836,2013,7,21,13,103,115,10,10,1100,148,31.6,1000.3,20.5,0,"SW",1.5
837,2014,2,16,6,377,352,96,89,3100,7,-2,1024.1,-6.7,0,"NE",2.1
838,2014,6,29,8,78,157,29,64,2100,35,28.5,1003,17.1,0,"NE",0.9
839,2016,1,24,6,7,53,4,14,300,65,-14.3,1038.1,-30.1,0,"NW",4.4
840,2014,12,3,7,7,28,9,34,400,33,-5,1020,-26.4,0,"NE",2
841,2013,3,22,8,12,24,12,44,500,50,6.7,1016.6,-12,0,"E",2.5
842,2015,7,28,10,49,49,2,68,1100,41,24.6,1000.9,23,0,"NE",1.3
843,2015,12,9,22,353,353,55,139,5100,7,3.3,1019.7,1.8,0,"NE",1
844,2014,12,25,11,29,47,35,43,700,46,3,1031,-14.7,0,"NE",2.1
845,2014,12,5,23,141,176,63,107,2000,2,-6,1021,-17.2,0,"S",0.5
846,2014,10,13,15,13,13,5,22,300,68,16.9,1019.4,-6.9,0,"S",1.1
847,2016,8,6,4,125,125,3,50,1000,43,26.8,1002.9,25,0,"SW",0.2
848,2017,2,4,2,307,312,49,102,3700,6,-0.3,1016,-8.3,0,"E",0.9
849,2013,7,6,20,68,75,27,31,1600,203,31.1,996.9,19.1,0,"SE",2.5
850,2015,2,4,16,8,70,10,23,300,81,6,1025,-15.9,0,"NW",4.8
851,2014,5,20,7,94,94,12,45,900,71,23.7,1001.5,7.7,0,"NE",3.1
852,2013,10,6,7,197,240,22,48,2900,15,14.5,1020.2,14.2,0,"E",2.1
853,2015,5,24,21,82,151,23,59,1300,169,28.1,1001.3,12,0,"SW",1.9
854,2014,12,17,3,9,24,9,35,500,47,-2,1021,-19.5,0,"W",2.5
855,2014,2,16,14,164,124,66,46,1700,80,6.1,1024.8,-9,0,"S",1.8
856,2013,10,24,10,7,23,8,18,400,39,13.6,1023.3,-5.1,0,"W",4.9
857,2016,12,1,20,101,141,24,100,1600,12,2.7,1028.7,-9.6,0,"SW",0.2
858,2016,5,8,19,44,53,14,23,600,153,22.9,1004.9,7.8,0,"SW",4.2
859,2015,8,9,2,99,113,2,34,1000,81,23.7,1007.5,21.8,0,"NE",1.2
860,2013,7,12,22,143,107,14,9,1400,96,26.6,1002.9,23.7,0,"SW",1.2
861,2015,4,8,7,91,133,7,97,1000,4,4.2,1022.4,-3.1,0,"E",0.8
862,2015,1,17,0,12,12,11,34,400,44,-4,1033,-18.3,0,"N",4.4
863,2016,8,14,21,45,104,4,61,1300,99,28.8,1002.6,22.3,0,"SW",0.2
864,2013,10,16,16,26,36,9,27,500,61,18.6,1019,-3.6,0,"S",1.5
865,2013,9,24,17,3,10,7,31,300,59,19.7,1015.4,-2,0,"W",1.3
866,2013,8,1,1,24,24,3,17,800,88,21.6,997.3,21.3,0,"E",2.1
867,2014,9,27,14,8,8,2,17,200,91,25.2,1011,6.9,0,"S",1.2
868,2016,11,16,2,146,236,11,77,3300,6,1.7,1017.6,0.2,0,"E",0.5
869,2014,7,9,15,13,13,2,19,300,109,31.3,998.9,12.6,0,"E",1.4
870,2015,7,19,8,61,61,2,58,1000,8,22,1004.5,21.3,0,"NE",0.8
871,2016,1,28,23,166,184,63,112,3400,12,-2.6,1029,-11.9,0,"SE",1.8
872,2016,6,13,4,66,66,2,24,700,90,20.1,999.4,17.7,0.3,"E",1.5
873,2014,7,19,23,72,86,4,30,900,124,28.2,1003.7,24.8,0.2,"W",1.2
874,2016,6,30,9,70,70,2,52,800,43,25.5,1000.1,19.9,0,"E",1.4
875,2015,2,18,16,21,21,7,22,400,86,10,1023,-15.5,0,"S",0.7
876,2014,9,12,16,49,49,11,47,500,108,23.6,1009.9,14.9,0,"SW",1.7
877,2015,1,5,8,170,226,106,115,4600,2,1,1011,-6.6,0,"NE",1.2
878,2014,3,17,23,17,72,7,33,300,59,14.6,1014.6,-6.9,0,"NW",2.6
879,2014,5,5,5,41,82,5,75,400,2,10.1,1015.4,-7.2,0,"N",1.8
880,2014,2,13,10,172,182,102,74,3500,13,-3.1,1033.1,-10,0,"SE",2.1
881,2013,5,12,8,23,77,6,46,400,32,21.5,996.7,-3.8,0,"E",1.4
882,2017,1,18,11,20,20,7,45,700,37,-1.8,1031.75,-16.8,0,"NE",2.9
883,2014,2,2,10,78,80,39,28,1200,41,7.8,1010.6,-15.1,0,"N",5.5
884,2014,7,4,9,192,192,2,41,1300,90,28.3,1001.2,22.5,0,"E",1.3
885,2016,2,25,13,40,60,17,51,800,48,5.2,1027.2,-17.3,0,"SW",2.7
886,2015,8,3,23,3,5,2,26,400,69,23.9,997.7,13.4,0,"NW",2.8
887,2016,3,19,11,60,118,25,45,1000,57,12.4,1020,-3.9,0,"S",2
888,2013,9,2,3,42,83,3,80,600,1,18,1011.4,16.8,0,"E",0.7
889,2014,10,22,3,49,83,12,73,800,2,8.1,1019.7,4.1,0,"NE",1
890,2015,3,7,10,248,250,62,115,3100,22,6.1,1016.6,-5,0,"E",0.9
891,2014,2,5,22,96,114,71,55,1200,23,-3.3,1024.6,-11.3,0,"E",1.3
892,2013,3,31,19,241,251,34,85,1600,3,6.4,1011.3,2.8,0,"N",0.7
893,2015,4,21,19,26,99,2,21,200,97,22.6,1007,-6.3,0,"N",3.7
894,2013,4,3,4,156,239,32,142,2000,7,4.4,1005.9,-0.6,0,"E",0
895,2015,2,13,19,195,195,40,104,2000,62,3,1010,-11,0,"SE",1.1
896,2016,1,6,0,73,73,21,83,1500,17,-6.5,1025.8,-13.2,0,"NE",1.7
897,2013,6,16,6,139,178,27,104,1300,33,23.1,1000.5,17.8,0,"E",1.8
898,2017,2,9,23,5,35,2,12,200,57,-1.9,1024.2,-19.8,0,"NW",3.5
899,2016,5,5,7,44,63,27,67,1800,32,18.3,1002.1,2.6,0,"E",1.3
900,2015,11,29,3,229,229,64,96,5000,5,-1.2,1023.1,-3.2,0,"E",0.6
901,2015,5,9,11,33,71,15,43,3100,40,14.1,1014.3,3.5,0,"SE",0.7
902,2015,7,2,22,14,41,2,75,400,18,22.2,999.9,11.9,0,"NE",0.2
903,2014,10,21,10,35,35,30,66,1300,10,13.3,1022.1,-4.4,0,"S",1.5
904,2016,8,6,6,131,131,2,40,1100,25,26.5,1003.2,25.5,0,"E",1.1
905,2015,7,24,11,103,129,2,57,1300,79,27.2,998.2,22.4,0,"E",1
906,2015,9,1,7,3,5,2,14,500,50,18.8,1008.4,17.5,0.6,"NW",1.6
907,2016,6,12,15,37,40,7,16,600,206,29.6,1000.4,12.1,0,"SW",1.8
908,2014,12,25,2,18,29,28,65,700,20,2,1027,-13.4,0,"NW",2.7
909,2015,4,1,19,34,41,4,48,700,61,10.4,1011.5,0.7,0,"SE",0.9
910,2014,4,22,7,46,56,8,89,600,3,16.6,1011.7,0.2,0,"NE",0.9
911,2015,12,4,23,118,131,49,94,2300,4,-1.7,1022,-8.2,0,"S",0.6
912,2016,11,13,20,172,298,16,73,3700,4,8.4,1011,5.3,0,"NE",0.6
913,2013,9,23,13,9,18,5,33,400,13,17.4,1015.1,5.7,0,"NW",3.1
914,2014,9,17,8,18,40,4,58,500,19,18.3,1017.5,10.4,0,"NW",1
